MSOA Code,MSOA Name,Total population,Local Authority English Name,Proportion of Population in 10% Most Deprived LSOAs,Proportion of Population in 20% Most Deprived LSOAs,Proportion of Population in 30% Most Deprived LSOAs,Proportion of Population in 40% Most Deprived LSOAs,Proportion of Population in 50% Most Deprived LSOAs,Proportion of Population in 60% Most Deprived LSOAs,Proportion of Population in 70% Most Deprived LSOAs,Proportion of Population in 80% Most Deprived LSOAs,Proportion of Population in 90% Most Deprived LSOAs,WIMD 2019 rank,MSOA HoCL English Name,MSOA HoCl Welsh Name
W02000239,The Vale of Glamorgan 003,7276,Vale of Glamorgan,0,0,0,0,0,0,0,0.2641561297416163,1,36,Peterston-super-Ely & Wenvoe,Llanbedr-y-fro a Gwenfô
W02000420,Wrexham 020,14185,Wrexham,0,0,0,0,0,0,0,0.47141346492774056,0.5620021149101163,35,"Gresford, Marford & Rossett","Gresffordd, Marford a'r Orsedd"
W02000386,Cardiff 020,8018,Cardiff,0,0,0,0,0,0,0.41656273384884013,0.41656273384884013,0.41656273384884013,34,Whitchurch,Yr Eglwys Newydd
W02000237,The Vale of Glamorgan 001,5887,Vale of Glamorgan,0,0,0,0,0,0,0,0,1,33,Ogmore-by-Sea & Llandow,Ogwr a Llandŵ
W02000387,Cardiff 021,6139,Cardiff,0,0,0,0,0,0,0,0.2707281316175273,0.7908454145626324,32,Birchgrove,Llwynbedw
W02000244,The Vale of Glamorgan 008,10476,Vale of Glamorgan,0,0,0,0,0.1742077128675067,0.1742077128675067,0.1742077128675067,0.1742077128675067,0.3864070255822833,31,Lower Penarth & Sully,Penarth Isaf a Sili
W02000187,Swansea 020,5572,Swansea,0,0,0,0,0,0,0,0.48115577889447236,0.48115577889447236,30,Dunvant & Upper Killay,Dynfant a Chilâ Uchaf
W02000241,The Vale of Glamorgan 005,10532,Vale of Glamorgan,0,0,0,0,0,0,0,0.1418533991644512,0.6881883782757311,29,Penarth,Penarth
W02000230,Bridgend 013,5510,Bridgend,0,0,0,0,0,0,0,0,0.5586206896551724,28,"Pen-y-fai, Laleston & Merthyr Mawr","Pen-y-fai, Trelales a Merthyr Mawr"
W02000369,Cardiff 003,8252,Cardiff,0,0,0,0,0,0,0,0,0.7948376151236064,27,Pontprennau,Pontprennau
W02000069,Flintshire 012,6444,Flintshire,0,0,0,0,0,0,0,0.23898199875853507,0.7773122284295468,26,"Buckley North, Northop & Sychdyn","Gogledd Bwcle, Llaneurgain a Sychdyn"
W02000067,Flintshire 010,6632,Flintshire,0,0,0,0,0,0,0,0.25,0.5025633293124246,25,Connah's Quay South & Northop Hall,De Cei Connah a Phentre-moch
W02000197,Swansea 030,6404,Swansea,0,0,0,0,0,0,0,0.27373516552154903,0.5673016864459712,24,West Gower,Gorllewin Gŵyr
W02000390,Cardiff 024,6470,Cardiff,0,0,0,0,0,0,0,0,0.7483771251931994,23,Pen-y-lan North,Gogledd Pen-y-lan
W02000374,Cardiff 008,5863,Cardiff,0,0,0,0,0,0,0,0.2241173460685656,0.2241173460685656,22,Cyncoed North,Gogledd Cyncoed
W02000071,Flintshire 014,7188,Flintshire,0,0,0,0,0,0,0,0.18113522537562604,0.38731218697829717,21,New Brighton & Mynyddisa,New Brighton a Mynyddisa
W02000378,Cardiff 012,7430,Cardiff,0,0,0,0,0,0,0,0,0.5387617765814267,20,Rhiwbina Village,Pentref Rhiwbeina
W02000392,Cardiff 026,8890,Cardiff,0,0,0,0,0,0,0,0,0.34308211473565803,19,Llandaf & Danescourt,Llandaf a Danescourt
W02000238,The Vale of Glamorgan 002,6329,Vale of Glamorgan,0,0,0,0,0,0,0,0,0.24901248222468003,18,Cowbridge,Y Bont-faen
W02000084,Wrexham 007,4825,Wrexham,0,0,0,0,0,0,0,0,0.284559585492228,17,Borras & Rhosnesni,Borras a Rhosnesni
W02000029,Conwy 003,6245,Conwy,0,0,0,0,0,0,0,0,0.2411529223378703,16,Penrhyn Bay,Bae Penrhyn
W02000070,Flintshire 013,10864,Flintshire,0,0,0,0,0,0,0.14948453608247422,0.14948453608247422,0.14948453608247422,15,Ewloe & Hawarden,Ewloe a Phenarlâg
W02000370,Cardiff 004,6557,Cardiff,0,0,0,0,0,0,0,0,0,14,Rhiwbina & Pant-mawr,Rhiwbeina a Phant-mawr
W02000384,Cardiff 018,5721,Cardiff,0,0,0,0,0,0,0,0.19611955951756685,0.19611955951756685,13,Heath,Y Mynydd Bychan
W02000194,Swansea 027,6460,Swansea,0,0,0,0,0,0,0,0,0,12,Sketty,Sgeti
W02000246,The Vale of Glamorgan 010,5528,Vale of Glamorgan,0,0,0,0,0,0,0,0,0,11,Barry Dyfan & Illtyd,Y Barri Dyfan ac Illtyd
W02000380,Cardiff 014,7074,Cardiff,0,0,0,0,0,0,0,0,0.30661577608142493,10,"Creigiau, Pentyrch & St Fagans","Creigiau, Pen-tyrch a Sain Ffagan"
W02000075,Flintshire 018,6142,Flintshire,0,0,0,0,0,0,0,0,0,9,Pen-y-ffordd & Higher Kinnerton,Pen-y-ffordd a Higher Kinnerton
W02000372,Cardiff 006,8029,Cardiff,0,0,0,0,0,0,0,0,0.14646904969485613,8,"Radyr, Morganstown & Gwaelod-y-garth","Radur, Pentre-poeth a Gwaelod-y-garth"
W02000368,Cardiff 002,5809,Cardiff,0,0,0,0,0,0,0,0,0.24083318987777586,7,Thornhill,Y Ddraenen
W02000278,Rhondda Cynon Taf 027,9261,Rhondda Cynon Taf,0,0,0,0,0,0,0,0,0.34564301911240686,6,Church Village West,Gorllewin Pentre'r Eglwys
W02000198,Swansea 031,7414,Swansea,0,0,0,0,0,0,0,0,0,5,Mumbles & Newton,Mwmbwls a Newton
W02000367,Cardiff 001,5878,Cardiff,0,0,0,0,0,0,0,0,0,4,Lisvane,Llys-faen
W02000385,Cardiff 019,7609,Cardiff,0,0,0,0,0,0,0,0,0,3,Cyncoed South & Roath Park,De Cyncoed a Pharc y Rhath
W02000190,Swansea 023,5168,Swansea,0,0,0,0,0,0,0,0,0,2,Killay,Cilâ
W02000195,Swansea 028,5804,Swansea,0,0,0,0,0,0,0,0,0,1,Mayals & Bishopston,Mayals a Llandeilo Ferwallt
